Key,en,zh-Hant
defense.team.weak,Weak,
defense.team.resist,Resist,
defense.team.simple,Simple,
defense.team.complex,Complex,
defense.team.type,Type,
defense.team.save,Save,
defense.team.saveLong,Save {{ name }},
defense.team.edit,Edit,
defense.team.editLong,Edit {{ name }},
defense.team.remove,Remove,
defense.team.removeLong,Remove {{ name }},
pokedex.search.description,"Search by name, number, or types",
pokedex.search.help,Help,
pokedex.search.helpLong,"Help, search Pokédex",
pokedex.search.notFound,No Pokémon found,
pokedex.offense.text,Offense,
pokedex.defense.text,Defense,
pokedex.shiny.label,Shiny for {{ pokemon }},
pokedex.shiny.text,Shiny,
pokedex.pagination.next,Next,
pokedex.pagination.nextLong,Next,
pokedex.pagination.previous,Prev,
pokedex.pagination.previousLong,Previous,
pokedex.pagination.firstLong,First,
pokedex.pagination.lastLong,Last,
pokedex.stats.hp,HP,
pokedex.stats.hpLong,Hit Points,
pokedex.stats.attack,Attack,
pokedex.stats.attackLong,Attack,
pokedex.stats.defense,Defense,
pokedex.stats.defenseLong,Defense,
pokedex.stats.specialAttack,Sp. Atk.,
pokedex.stats.specialAttackLong,Special Attack,
pokedex.stats.specialDefense,Sp. Def.,
pokedex.stats.specialDefenseLong,Special Defense,
pokedex.stats.speed,Speed,
pokedex.stats.speedLong,Speed,
pokedex.stats.total,Total,
pokedex.stats.totalLong,Total,
pokedexHelp.searchByName.heading,Search by name,
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.",
pokedexHelp.searchByNumber.heading,Search by number,
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbsaur, just type 1, not #001.",
pokedexHelp.searchByType.heading,Search by type,
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,
pokedexHelp.searchExamples.type.query,fire,
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have a fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).",
pokedexHelp.searchExamples.doubleType.query,water flying,
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either water/flying (e.g. Gyarados) or flying/water (e.g. Cramorant).,
pokedexHelp.searchExamples.singleType.query,grass none,
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).",
pokedexHelp.back,Back to Pokédex,
more.contact.heading,Contact me,
more.contact.intro,"Hi, I'm <homepage>Sage Fennel</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).",
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,
more.settings.heading,Settings,
more.settings.language.label,Language,
more.settings.language.default,Auto detect language,
more.settings.language.helpText,"Language support is incomplete. Please email me, I will pay you to translate.",
more.settings.theme.label,Theme,
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,
more.settings.theme.values.auto,System default,
more.settings.theme.values.light,Light,
more.settings.theme.values.dark,Dark,
more.settings.typeCount.label,Number of types,
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,
more.settings.typeCount.values.2,Two types (2),
more.settings.typeCount.values.3,Three types (3),
more.changes.heading,What’s new,
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,
more.help.heading,Help,
more.help.serviceWorker.description,This button can help fix issues in the app.,
more.help.serviceWorker.button,Reset,
more.privacy.heading,Privacy,
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.",
more.givingBack.heading,Showing appreciation,
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support BIPOC and transgender rights.",
more.thanks.heading,Special thanks,
more.thanks.sections.da,Danish translation,
more.thanks.sections.ru,Russian translation,
more.thanks.sections.kk,Kazakh translation,
more.thanks.sections.pt-BR,Brazilian Portuguese translation,
more.thanks.sections.zh-Hans,Simplified Chinese translation,
more.thanks.sections.ro,Romanian translation,
more.thanks.sections.pl,Polish translation,
more.thanks.sections.fr,French translation,
more.thanks.sections.de,German translation,
more.thanks.sections.it,Italian translation,
more.thanks.sections.ko,Korean translation,
more.thanks.sections.ja,Japanese translation,
more.thanks.sections.nl,Dutch translation,
more.thanks.sections.testing,Testing,
more.thanks.sections.other,Several anonymous Poké Fans,
more.openSource.heading,Open source,
more.openSource.description,Source code is available on <github>GitHub</github>.,
more.legalInfo.heading,Legal info,
types.normal,Normal,
types.fighting,Fighting,
types.flying,Flying,
types.poison,Poison,
types.ground,Ground,
types.rock,Rock,
types.bug,Bug,
types.ghost,Ghost,
types.steel,Steel,
types.fire,Fire,
types.water,Water,
types.grass,Grass,
types.electric,Electric,
types.psychic,Psychic,
types.ice,Ice,
types.dragon,Dragon,
types.dark,Dark,
types.fairy,Fairy,
types.none,None,
banners.updateReady.description,An update is available,
banners.updateReady.whatsNew,What’s new,
banners.updateReady.update,Update,
general.loading,Loading…,
games.label,Game generation,
games.help,Use type effectiveness from different game generations.,
games.byID.gen1,Generation 1,
games.byID.gen2,Generation 2–5,
games.byID.default,Default (generation 6+),
