Key,en,tr
more.settings.typeCount.values.2,Two types (2),2 Tip (2)
more.settings.typeCount.values.3,Three types (3),3 tip (3)
more.changes.heading,What’s new,Yeni şeyler
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,
more.help.heading,Help,Yardım
more.help.serviceWorker.description,This button can help fix issues in the app.,
more.help.serviceWorker.button,Reset,Sıfırla
more.privacy.heading,Privacy,Gizlilik
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.",
more.givingBack.heading,Showing appreciation,
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support racial justice and transgender rights.",
more.thanks.heading,Special thanks,Özel Teşekkürler
more.thanks.description,See everyone who's helped make this website in the <credits>credits</credits>.,
more.openSource.heading,Open source,Açık kaynaklı
more.openSource.description,Source code is available on <github>GitHub</github>.,
more.legalInfo.heading,Legal info,Legal bilgi
types.normal,Normal,Normal
types.fighting,Fighting,Dövüş
types.flying,Flying,Uçuş
types.poison,Poison,Zehir
types.ground,Ground,Zemin
types.rock,Rock,Kaya
types.bug,Bug,Böcek
types.ghost,Ghost,Hayalet
types.steel,Steel,Demir
types.fire,Fire,Alev
types.water,Water,Su
types.grass,Grass,Çimen
types.electric,Electric,Elektrik
types.psychic,Psychic,Pisişik
types.ice,Ice,Buz
types.dragon,Dragon,Ejderha
types.dark,Dark,Karanlık
types.fairy,Fairy,Peri
types.stellar,Stellar,Stellar
types.none,None,Yok
banners.updateReady.description,An update is available,
banners.updateReady.whatsNew,What’s new,Yeni şeyler
banners.updateReady.update,Update,Güncelleme
general.loading,Loading…,Yükleniyor...
general.copyLink,Copy link,Linki kopyala
games.label,Game generation,
games.help,Use type effectiveness from different game generations.,
games.byID.gen1,Generation 1,Jenerasyon 1
games.byID.gen2,Generation 2–5,Jenerasyon 2-5
games.byID.default,Generation 6+,Jenerasyon 6+
