Key,en,ko
pokedex.stats.defense,Defense,방어
pokedex.stats.defenseLong,Defense,방어
pokedex.stats.specialAttack,Sp. Atk.,특수공격
pokedex.stats.specialAttackLong,Special Attack,특수공격
pokedex.stats.specialDefense,Sp. Def.,특수방어
pokedex.stats.specialDefenseLong,Special Defense,특수방어
pokedex.stats.speed,Speed,스피드
pokedex.stats.speedLong,Speed,스피드
pokedex.stats.total,Total,총합
pokedex.stats.totalLong,Total,총합
pokedexHelp.searchByName.heading,Search by name,이름으로 검색
pokedexHelp.searchByName.description,"You can search for a Pokémon by name. If you only remember part of the Pokémon's name, It can still probably find it for you. It can't deal with typos right now though.",이름으로 포켓몬을 검색할 수 있습니다. 포켓몬 이름의 일부만 기억하더라도 찾을 수 있습니다. 하지만 지금은 맞춤법 오류를 처리할 수 없습니다.
pokedexHelp.searchByNumber.heading,Search by number,번호로 검색
pokedexHelp.searchByNumber.description,"Search by national dex number. If you want Bulbsaur, just type 1, not #001.",전국 포켓몬 도감 번호로 검색하세요. 이상해씨를 원하시면 #001이 아닌 1을 입력하세요.
pokedexHelp.searchByType.heading,Search by type,유형별 검색
pokedexHelp.searchByType.description,Here are a few examples of how to seach by type.,다음은 유형별로 검색하는 방법에 대한 몇 가지 예입니다.
pokedexHelp.searchExamples.type.query,fire,불꽃
pokedexHelp.searchExamples.type.description,"Search for Pokémon that have a fire as either of their types in any form (e.g. Charmander, Charizard, Rotom).","파이리, 리자몽, 로토무 등 어떤 형태로든 불을 가진 포켓몬을 찾습니다."
pokedexHelp.searchExamples.doubleType.query,water flying,물 비행
pokedexHelp.searchExamples.doubleType.description,Search for Pokémon that are either water/flying (e.g. Gyarados) or flying/water (e.g. Cramorant).,물/비행(예: 갸라도스) 또는 비행/물(예: 윽우지) 포켓몬을 검색합니다.
pokedexHelp.searchExamples.singleType.query,grass none,풀 없음
pokedexHelp.searchExamples.singleType.description,"Search for Pokémon that are only grass type, no 2nd type (e.g. Tangela, Chikorita, Lilligant).","2형이 아닌 풀형 포켓몬을 찾으세요(예: 덩쿠리, 치코리타, 드레디어)."
pokedexHelp.back,Back to Pokédex,포켓몬 백과사전으로 돌아가기
more.contact.heading,Contact me,저에게 연락
more.contact.intro,"Hi, I'm <homepage>Sage Fennel</homepage> (they/them), and I made Pokémon Type Calculator (pkmn.help).","안녕하세요, 저는 <homepage>Sage Fennel</homepage> (그들/그들의) 이고 Pokémon Type Calculator (pkmn.help)를 만들었습니다."
more.contact.email,Please email your thoughts and thank-yous to <email>pkmn@wavebeem.com</email>.,<email>pkmn@wavebeem.com</email> 으로 귀하의 생각과 감사를 이메일로 보내주십시오.
more.settings.heading,Settings,조절
more.settings.language.label,Language,언어
more.settings.language.default,Auto detect language,언어 자동 감지
more.settings.language.helpText,"Language support is incomplete. Please email me, I will pay you to translate.",언어 지원이 불완전합니다. 저에게 이메일을 보내주시면 번역 비용을 지불하겠습니다.
more.settings.theme.label,Theme,디스플레이
more.settings.theme.help,“System default” will change automatically depending on your operating system settings.,"""시스템 기본값"" 은 운영 체제 설정에 따라 자동으로 변경됩니다."
more.settings.theme.values.auto,System default,시스템 기본값
more.settings.theme.values.light,Light,라이트 모드
more.settings.theme.values.dark,Dark,다크 모드
more.settings.typeCount.label,Number of types,타입의 수
more.settings.typeCount.help,Pokémon can briefly have three types at once if hit with Forests’s Curse or Trick-or-Treat. The third type field is hidden by default since it is rarely used.,포켓몬은 숲의 저주나 트릭 오어 트릿에 맞으면 잠시 동안 한 번에 세 가지 유형을 가질 수 있습니다. 세 번째 유형 필드는 거의 사용되지 않기 때문에 기본적으로 숨겨져 있습니다.
more.settings.typeCount.values.2,Two types (2),두 가지 유형(2)
more.settings.typeCount.values.3,Three types (3),세 가지 유형 (3)
more.changes.heading,What’s new,새로운 기능
more.changes.description,See what’s new in the <changelog>changelog</changelog>.,<changelog>변경 로그</changelog> 에서 변경 사항 보기
more.help.heading,Help,도움
more.help.serviceWorker.description,This button can help fix issues in the app.,이 버튼은 앱의 문제를 해결하는 데 도움이 될 수 있습니다.
more.help.serviceWorker.button,Reset,초기화
more.privacy.heading,Privacy,개인정보 보호정책
more.privacy.description,"I will never run ads or steal your personal data. I use <plausible>Plausible Analytics</plausible>, which is self-funded, independent, hosted in the EU, and doesn't store any cookies on your computer.",절대 광고를 게재하거나 개인정보를 도용하지 않겠습니다. 저는 <plausible>Plausible Analytics</plausible>를 사용합니다. 이 분석은 유럽 연합에서 자체적으로 자금을 조달하고 독립적이며 귀하의 컴퓨터에 쿠키를 저장하지 않습니다.
more.givingBack.heading,Showing appreciation,감사를 표시
more.givingBack.description,"I have spent countless hours improving this site. If you appreciate what I've made, please consider donating to charities that support BIPOC and transgender rights.",저는 이 사이트를 개선하는 데 수많은 시간을 보냈습니다. 내가 만든 것에 감사한다면 흑인과 원주민 및 트랜스젠더 권리를 지원하는 자선 단체에 기부하는 것을 고려해 주세요.
more.thanks.heading,Special thanks,특별한 감사
more.thanks.sections.da,Danish translation,덴마크어 번역
more.thanks.sections.ru,Russian translation,러시아어 번역
more.thanks.sections.kk,Kazakh translation,카자흐어 번역
more.thanks.sections.pt-BR,Brazilian Portuguese translation,브라질 포르투갈어 번역
more.thanks.sections.zh-Hans,Simplified Chinese translation,중국어 번역
more.thanks.sections.ro,Romanian translation,루마니아어 번역
more.thanks.sections.pl,Polish translation,폴란드어 번역
more.thanks.sections.fr,French translation,프랑스어 번역
more.thanks.sections.de,German translation,독일어 번역
more.thanks.sections.it,Italian translation,이탈리아어 번역
more.thanks.sections.ko,Korean translation,한국어 번역
more.thanks.sections.ja,Japanese translation,일본어 번역
more.thanks.sections.nl,Dutch translation,
more.thanks.sections.testing,Testing,테스트
more.thanks.sections.other,Several anonymous Poké Fans,여러 익명의 포켓몬 팬
more.openSource.heading,Open source,오픈 소스
more.openSource.description,Source code is available on <github>GitHub</github>.,소스 코드는 <github>GitHub</github>에서 확인할 수 있습니다.
more.legalInfo.heading,Legal info,법률 정보
types.normal,Normal,노말
types.fighting,Fighting,격투
types.flying,Flying,비행
types.poison,Poison,독
types.ground,Ground,땅
types.rock,Rock,바위
types.bug,Bug,벌레
types.ghost,Ghost,고스트
types.steel,Steel,강철
types.fire,Fire,불꽃
types.water,Water,물
types.grass,Grass,풀
types.electric,Electric,전기
types.psychic,Psychic,에스퍼
types.ice,Ice,얼음
types.dragon,Dragon,드래곤
types.dark,Dark,악
types.fairy,Fairy,페어리
types.none,None,없음
banners.updateReady.description,An update is available,업데이트를 사용할 수 있습니다
banners.updateReady.whatsNew,What’s new,새로운 기능
banners.updateReady.update,Update,업데이트
general.loading,Loading…,기다리세요...
games.label,Game generation,세대
games.help,Use type effectiveness from different game generations.,다양한 게임 세대의 유형 효율성 사용
games.byID.gen1,Generation 1,1세대
games.byID.gen2,Generation 2–5,2~5세대
games.byID.default,Default (generation 6+),오토매틱 (6+세대)
